NOPOL,LAMBUNG,MERK,TYPE,JENIS,DEPT,STANDAR,TAHUN,RASIO,TARGET,CATATAN,Isi BBM Liter,Kilometer Pakai,Total Rupiah,Tgl Bon Terakhir
F8756GP,PWK047,MITSUBISHI,COLT L300,L300,DELIVERY,9,2014,"8,43",TIDAK DAPAT,Ganti kopling setOH GardanCek engineCek rodaCek kopling DC BGR,"247,63",2088,1683902,21-May-26
B9652UY,PWK016,HINO,DUTRO 110 SD 4009 cc,ENGKEL,DELIVERY,"7,5",2009,-,TIDAK DAPAT,General Check Up,0,0,0,-
F8570GW,PWK402,MITSUBISHI,COLT L300,L300,YUMMY CHOICE,8,2017,"7,85",TIDAK DAPAT,Turun mesin / engine overhoul,"222,8",1749,1515038,21-May-26
T8372AK,PWK116,ISUZU,ELF NKR 55 2.771 cc,ENGKEL,DELIVERY,8,2016,0,TIDAK DAPAT,General Check Up,0,0,0,18-May-26
T8394AK,PWK618,ISUZU,ELF NKR 55 2771 cc,ENGKEL,PERISHABLE - ROTI,"7,5",2016,0,TIDAK DAPAT,General Check Up,0,0,0,13-May-26
F8358GZ,PWK409,MITSUBISHI,COLT L300,L300,YUMMY CHOICE,8,2017,-,TIDAK DAPAT,Cek engineCek kabel - kabel,0,0,0,-
B9739FCC,PWK104,HINO,DUTRO 110 SD 4009 cc,ENGKEL,DELIVERY,"7,5",2014,"7,04",TIDAK DAPAT,,"577,32",4063,3925791,21-May-26
T8925AP,PWK075,HINO,DUTRO 115 LD 4009 cc,DOUBLE,DELIVERY,7,2022,"6,51",TIDAK DAPAT,,"544,24",3541,3700812,21-May-26
D8840EE,PWK617,MITSUBISHI,CANTER FE 73,DOUBLE,PERISHABLE - ROTI,7,2013,"6,16",TIDAK DAPAT,,"489,5",3014,3328602,21-May-26
D8858EE,PWK509,MITSUBISHI,CANTER FE 73,DOUBLE,PERISHABLE - BUAH,"7,5",2013,"5,27",TIDAK DAPAT,,"512,77",2701,3486853,21-May-26
T8349AK,PWK165,MITSUBISHI,CANTER FE 73 3.907 cc,DOUBLE,DELIVERY,7,2016,"6,67",TIDAK DAPAT,,"357,33",2383,2429858,20-May-26
T8896AK,PWK088,MITSUBISHI,CANTER FE 73 3.907 cc,DOUBLE,DELIVERY,7,2017,"6,12",TIDAK DAPAT,,"262,37",1605,1784114,20-May-26
T8061AN,PWK414,MITSUBISHI,COLT L300,L300,YUMMY CHOICE,8,2019,"6,89",TIDAK DAPAT,,"206,8",1424,1406238,21-May-26
T8897AK,PWK089,MITSUBISHI,CANTER FE 73 3.907 cc,DOUBLE,DELIVERY,7,2017,"6,84",TIDAK DAPAT,,"323,09",2209,2197020,21-May-26
T8369AK,PWK114,ISUZU,ELF NKR 55 2.771 cc,ENGKEL,DELIVERY,8,2016,"1,75",TIDAK DAPAT,,"377,02",660,2563730,21-May-26
F8347GZ,PWK411,MITSUBISHI,COLT L300,L300,YUMMY CHOICE,8,2017,"7,74",TIDAK DAPAT,,"232,59",1800,1581606,20-May-26
B9082FCA,PWK611,HINO,DUTRO 110 SD 4009 cc,ENGKEL,PERISHABLE - ROTI,"7,5",2009,-,TIDAK DAPAT,General Check Up,0,0,0,-
B9258FCA,PWK056,HINO,DUTRO 110 LD 4009 cc,DOUBLE,DELIVERY,7,2010,0,TIDAK DAPAT,General Check Up,0,0,0,18-May-26
T8506AO,PWK652,HINO,DUTRO 130 MDL,DOUBLE,MRBREAD,7,2011,0,TIDAK DAPAT,Body riper/paska laka / Tarman,0,0,0,13-May-26
T8599AL,PWK505,HINO,DUTRO 110 SD 4009 cc,ENGKEL,PERISHABLE - BUAH,8,2017,"6,94",TIDAK DAPAT,,"343,85",2386,2338180,21-May-26
F8323HI,PWK435,MITSUBISHI,COLT L300,L300,YUMMY CHOICE,8,2019,-,TIDAK DAPAT,,0,0,0,-
T8403AQ,PWK068,HINO,DUTRO 115 LD 4009 cc,DOUBLE,DELIVERY,7,2024,"5,8",TIDAK DAPAT,,"490,4",2842,3334724,21-May-26
