KDMBL,NOPOL,STATUS,MERK,TAHUN,UMUR,JENIS,DEPT,TOTAL KM TEMPUH,AKTIF / HARI,TOTAL RITASE,TOTAL TOKO,AVG TOKO,AVG RITASE
PWK001,B9480FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,3561,19,37,65,3,2
PWK002,B9481FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,3304,19,34,48,3,2
PWK003,B9483FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,1527,6,15,52,9,3
PWK004,B9484FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,3823,19,34,113,6,2
PWK005,T8040AN,AKTIF,HINO,2018,8,ENGKEL,DELIVERY,3801,19,39,84,4,2
PWK006,T8041AN,AKTIF,HINO,2018,8,ENGKEL,DELIVERY,5176,21,50,182,9,2
PWK007,B9487FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,4555,20,42,91,5,2
PWK008,B9482FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,4299,20,40,133,7,2
PWK009,B9606FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,2512,16,30,80,5,2
PWK010,B9607FCC,AKTIF,HINO,2013,13,ENGKEL,DELIVERY,2285,15,23,46,3,2
PWK011,B9344FCB,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,4304,20,43,53,3,2
PWK012,T8623AL,AKTIF,HINO,2017,9,ENGKEL,DELIVERY,4969,21,46,131,6,2
PWK014,T8624AL,AKTIF,HINO,2017,9,ENGKEL,DELIVERY,4194,21,41,159,8,2
PWK016,B9652UY,AKTIF,HINO,2009,17,ENGKEL,DELIVERY,0,0,0,0,-,-
PWK017,B9870UW,P3AT,HINO,2009,17,ENGKEL,DELIVERY,0,0,0,0,-,-
PWK019,T8652AN,AKTIF,HINO,2021,5,ENGKEL,DELIVERY,4966,19,49,154,8,3
PWK021,T8056AP,AKTIF,HINO,2021,5,ENGKEL,DELIVERY,5504,21,56,138,7,3
PWK024,T8625AL,AKTIF,HINO,2017,9,ENGKEL,DELIVERY,4250,19,40,85,4,2
PWK025,B9338FCB,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,3849,18,41,55,3,2
PWK028,T8783AL,AKTIF,MITSUBISHI,2017,9,L300,DELIVERY,5596,20,50,124,6,3
PWK035,D8969DM,P3AT,HINO,2010,16,ENGKEL,DELIVERY,0,0,0,0,-,-
PWK036,T8042AN,AKTIF,HINO,2018,8,ENGKEL,DELIVERY,4777,20,49,82,4,2
PWK037,D8121EE,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,4348,18,43,61,3,2
PWK038,D8062EA,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,3678,19,38,64,3,2
PWK039,D8120EE,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,4293,20,40,104,5,2
PWK040,D8117EE,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,3930,20,37,71,4,2
PWK041,D8105EA,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,4411,20,41,152,8,2
PWK042,D8106EA,AKTIF,HINO,2012,14,ENGKEL,DELIVERY,3742,19,36,48,3,2
PWK044,D8857EE,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY,3855,19,35,118,6,2
PWK045,D8853EE,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY,3820,21,41,57,3,2
PWK046,B9707FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,2944,16,34,80,5,2
PWK047,F8756GP,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY,3181,13,27,64,5,2
PWK048,B9709FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,5060,20,45,92,5,2
PWK049,B9710FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,4246,20,45,66,3,2
PWK050,B9711FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,4260,20,38,273,14,2
PWK051,T8480AQ,AKTIF,HINO,2025,1,DOUBLE,DELIVERY,3696,20,46,157,8,2
PWK052,T8150AN,AKTIF,HINO,2019,7,DOUBLE,DELIVERY,4159,20,41,120,6,2
PWK054,B9133FCA,P3AT,HINO,2010,16,DOUBLE,DELIVERY,0,0,0,0,-,-
PWK055,T8179AQ,AKTIF,HINO,2023,3,DOUBLE,DELIVERY,3998,20,43,104,5,2
PWK056,B9258FCA,AKTIF,HINO,2010,16,DOUBLE,DELIVERY,192,1,2,2,2,2
PWK057,T8397AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,4999,20,49,133,7,2
PWK058,T8923AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4156,18,44,104,6,2
PWK059,T8389AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,3767,20,45,122,6,2
PWK060,T8390AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,4094,20,46,104,5,2
PWK061,T8151AN,AKTIF,HINO,2019,7,DOUBLE,DELIVERY,3451,19,39,83,4,2
PWK062,T8395AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,4816,20,49,117,6,2
PWK063,T8396AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,3717,20,40,96,5,2
PWK064,T8611AL,AKTIF,HINO,2017,9,DOUBLE,DELIVERY,2947,18,37,87,5,2
PWK065,T8735AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4597,20,48,107,5,2
PWK066,T8736AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4540,20,50,132,7,3
PWK067,T8737AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,3805,20,42,110,6,2
PWK068,T8403AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,3983,20,41,136,7,2
PWK069,T8865AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4176,20,47,125,6,2
PWK070,T8902AP,AKTIF,HINO,2023,3,DOUBLE,DELIVERY,3374,19,40,101,5,2
PWK071,T8924AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4667,20,47,111,6,2
PWK072,B9255FCA,P3AT,HINO,2010,16,DOUBLE,DELIVERY,50,1,1,1,1,1
PWK073,T8404AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,3936,20,47,103,5,2
PWK074,B9132FCA,P3AT,HINO,2010,16,DOUBLE,DELIVERY,0,0,0,0,-,-
PWK075,T8925AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,3545,20,43,124,6,2
PWK076,T8926AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4035,20,44,105,5,2
PWK077,T8927AP,AKTIF,HINO,2022,4,DOUBLE,DELIVERY,4370,19,47,128,7,2
PWK078,T8405AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,3861,20,40,131,7,2
PWK079,T8406AQ,AKTIF,HINO,2024,2,DOUBLE,DELIVERY,4185,20,46,108,5,2
PWK080,T8481AQ,AKTIF,HINO,2025,1,DOUBLE,DELIVERY,4529,20,46,106,5,2
PWK081,D8869DH,P3AT,HINO,2009,17,DOUBLE,DELIVERY,0,0,0,0,-,-
PWK082,B9689FCC,AKTIF,MITSUBISHI,2013,13,DOUBLE,DELIVERY,2084,18,26,65,4,1
PWK083,T8482AQ,AKTIF,HINO,2025,1,DOUBLE,DELIVERY,4874,20,48,122,6,2
PWK085,D8773DM,AKTIF,HINO,2010,16,DOUBLE,DELIVERY,1076,9,10,176,20,1
PWK088,T8896AK,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY,1694,19,25,50,3,1
PWK089,T8897AK,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY,2565,18,28,56,3,2
PWK090,T8898AK,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY,2708,18,33,74,4,2
PWK092,T8909AO,AKTIF,HINO,2014,12,DOUBLE,DELIVERY,2955,19,35,75,4,2
PWK093,T8908AO,AKTIF,HINO,2013,13,DOUBLE,DELIVERY,3623,20,43,89,4,2
PWK095,T8907AO,AKTIF,HINO,2013,13,DOUBLE,DELIVERY,3374,20,40,76,4,2
PWK096,T8224AJ,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY,3155,20,40,86,4,2
PWK099,T8229AJ,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY,3092,20,37,94,5,2
PWK101,B9712FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,4111,20,42,142,7,2
PWK102,B9714FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,793,4,7,10,3,2
PWK103,B9738FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,5272,20,50,86,4,3
PWK104,B9739FCC,AKTIF,HINO,2014,12,ENGKEL,DELIVERY,4726,21,47,161,8,2
