Kode Toko,NAMA TOKO,OPENING,"UMUR TOKO
(TAHUN)",JARAK TEMPUH,"WAKTU TEMPUH
(HARI:JAM:MENIT)",KATEGORI WILAYAH,KELURAHAN,KECAMATAN,KAB/KOTA,KODE POS,KOORDINAT GPS
FC2K,JATIMULYA 1,3-Agu-92,33,"58,4",0 hari 1 jam 4 menit,Menengah,JATI MULYA,TAMBUN SELATAN,BEKASI,17510,-6.26722222 107.01897222
T034,HARAPAN BARU,21-Sep-92,33,"69,8",0 hari 1 jam 16 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.21302778 106.96638889
F505,PONDOK HIJAU BEKASI,2-Des-92,33,"58,7",0 hari 1 jam 4 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.26561111 107.01152778
T051,PONDOK TIMUR,27-Sep-93,32,"60,2",0 hari 1 jam 6 menit,Menengah,JATIMULYA,TAMBUN SELATAN,BEKASI,17510,-6.279601 107.022534
T4NP,KOMPAS INDAH,21-Okt-95,30,59,0 hari 1 jam 4 menit,Menengah,MEKARSARI,TAMBUN SELATAN,BEKASI,17510,-6.258722 107.071278
T547,SUMBER ARTHA,29-Nov-96,29,"69,7",0 hari 1 jam 16 menit,Menengah,BINTARA JAYA,BEKASI BARAT,KOTA BEKASI,17136,-6.249299 106.945719
F769,KARTINI BEKASI,24-Jul-99,26,"61,1",0 hari 1 jam 7 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.24780556 107.00127778
F48Q,MARGAHAYU,29-Nov-99,26,"59,2",0 hari 1 jam 5 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,-6.25413889 107.01872222
T2ZA,NANGKA,29-Des-99,26,"65,4",0 hari 1 jam 11 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,-6.23308333 106.98211111
T05M,WIRASABA,28-Jul-00,25,"28,8",0 hari 0 jam 31 menit,DK,ADIARSA BARAT,KARAWANG BARAT,KARAWANG,41311,-6.32479297 107.31305171
TEHH,BUMI BEKASI BARU II,29-Sep-01,24,"60,3",0 hari 1 jam 6 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.26669 107.005348
F155,GRIYA BINTARA,1-Okt-01,24,"68,5",0 hari 1 jam 15 menit,Menengah,BINTARA,BEKASI BARAT,KOTA BEKASI,17134,-6.22769444 106.96083333
TL10,HARAPAN BARU II,17-Okt-01,24,"68,9",0 hari 1 jam 15 menit,Menengah,KOTA BARU,BEKASI BARAT,KOTA BEKASI,17133,-6.21038889 106.96925
T282,CUT MUTIA,24-Okt-01,24,"61,3",0 hari 1 jam 7 menit,Menengah,SEPANJANG JAYA,RAWA LUMBU,KOTA BEKASI,17113,-6.26161111 106.99913889
