CAB INDUK,RLM,LM,No Aktiva,No Pol,No Lambung,Lokasi Armada,Jenis Kiriman,Type Kendaraan,Merk,Tahun Rakit,STATUS,CEK,BAN SEREP,KONDOM SOLAR,TALI RACHET,STICKER DELIVER VAN,TAILGATE,STOPPER TAILGATE,LIDAH TAILGATE (JEMBATAN)
PWK1,SGT,HRL,K21.000032,B9480FCC,PWK001,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000033,B9481FCC,PWK002,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000036,B9483FCC,PWK003,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,TIDAK ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000037,B9484FCC,PWK004,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.035993,T8040AN,PWK005,DCI,DRY,ENGKEL,HINO,2017,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.035992,T8041AN,PWK006,DCI,DRY,ENGKEL,HINO,2018,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000040,B9487FCC,PWK007,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,TIDAK ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000035,B9482FCC,PWK008,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000041,B9606FCC,PWK009,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,TIDAK ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.000042,B9607FCC,PWK010,DCI,DRY,ENGKEL,HINO,2013,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K07.000560,B9344FCB,PWK011,DCI,DRY,ENGKEL,HINO,2012,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.010302,T8623AL,PWK012,DCI,DRY,ENGKEL,HINO,2017,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.010311,T8624AL,PWK014,DCI,DRY,ENGKEL,HINO,2017,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K07.000440,B9652UY,PWK016,DCI,DRY,ENGKEL,HINO,2009,AKTIF,SUDAH SO,ADA,ADA,ADA,TIDAK ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K02.000380,B9870UW,PWK017,P3AT,DRY,ENGKEL,HINO,2009,ACC P3AT LOG HO,BELUM SO,BELUM SO,BELUM SO,BELUM SO,BELUM SO,BELUM SO,BELUM SO,BELUM SO
PWK1,SGT,HRL,K21.036021,T8652AN,PWK019,DCI,DRY,ENGKEL,HINO,2021,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.036050,T8056AP,PWK021,DCI,DRY,ENGKEL,HINO,2021,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.010312,T8625AL,PWK024,DCI,DRY,ENGKEL,HINO,2017,ACC P3AT LOG HO,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K07.000559,B9338FCB,PWK025,DCI,DRY,ENGKEL,HINO,2012,AKTIF,SUDAH SO,ADA,ADA,ADA,ADA,ADA,ADA,ADA
PWK1,SGT,HRL,K21.010318,T8783AL,PWK028,DCI,DRY,L300,MITSUBISHI,2018,AKTIF,SUDAH SO,ADA,ADA,BELUM SO,ADA,BELUM SO,BELUM SO,BELUM SO
